label,count
476,1
491,40
494,1752
502,216
509,32
510,327
512,1055
513,15995
520,136
521,132
528,855
529,548
530,217
531,26644
532,17
539,788
540,672
546,2254
547,850
548,268
549,67383
551,22
553,40
555,163
557,520
558,3630
559,8
560,59
561,97
562,24
563,9
564,4285
565,4666
566,1474
567,83068
568,1589
569,490
570,508
571,586
573,1856
575,292
576,1517
577,1047
578,53
580,707
581,2251
582,4768
583,1651
584,579
585,22839
586,35055
587,5837
588,19637
589,88
591,14429
592,291
593,2212
599,4224
600,193
602,22374
603,21310
604,12903
605,1518
606,2545
607,1019
608,1096
609,1094
610,1096
619,9522
620,13582
621,9642
622,49047
623,3078
624,3390
625,3393
626,4939
627,6139
628,8861
